N0000171648	C0032046	M0016938	D010923	Placenta Previa
N0000000422	C0003125	M0001279	D000856	Anorexia Nervosa
N0000011094	C0846967	M0464093	D049309	Acanthoma
N0000002075	C0026946	M0014313	D009181	Mycoses
N0000000382	C0002797	M0001083	D000712	Anaplasmosis
N0000003561	C0162672	M0026164	D017243	MERRF Syndrome
N0000002006	C0025534	M0013499	D008664	Metal Metabolism, Inborn Errors
N0000183425	C1513276	M0556643	D061206	Neoplasm Micrometastasis
N0000003835	C0152020	M0027865	D018589	Gastroparesis
N0000003782	C0206730	M0027556	D018321	Neurothekeoma
N0000003215	C0026916	M0023509	D015270	Mycobacterium avium-intracellulare Infection
N0000002962	C0040336	M0021604	D014029	Tobacco Use Disorder
N0000181040	C0085568	M0503954	D054312	Buruli Ulcer
N0000003700	C0206650	M0027455	D018226	Fibroadenoma
N0000001328	C0017494	M0009211	D005862	Gerstmann Syndrome
N0000000879	C0010403	M0005376	D003449	Cryoglobulinemia
N0000002884	C0039132	M0020975	D013591	Syphilis, Cutaneous
N0000003960	C0393799	M0029456	D019846	Miller Fisher Syndrome
N0000003548	C0162629	M0026099	D017194	Oxyurida Infections
N0000003780	C0206728	M0027553	D018318	Neurofibroma, Plexiform
N0000000955	C0011875	M0006156	D003925	Diabetic Angiopathies
N0000183413	C0521168	M0552712	D060051	Occupational Injuries
N0000000775	C0008497	M0004339	D002822	Choriocarcinoma
N0000003550	C0151744	M0026104	D017202	Myocardial Ischemia
N0000003029	C0041295	M0022105	D014375	Tuberculoma
N0000002818	C0038165	M0020426	D013206	Staphylococcal Scalded Skin Syndrome
N0000001771	C0022882	M0012123	D007757	Laboratory Infection
N0000002147	C0027697	M0014626	D009393	Nephritis
N0000003255	C0023492	M0023815	D015458	Leukemia, T-Cell
N0000001040	C0013491	M0006955	D004438	Ecchymosis
N0000003074	C0041972	M0022334	D014524	Urethral Obstruction
N0000001135	C0014588	M0007596	D004842	Epispadias
N0000011056	C0086973	M0010176	D006483	Hemorrhagic Septicemia
N0000003832	C0242723	M0027759	D018512	Parasitemia
N0000002128	C0027651	M0014585	D009369	Neoplasms
N0000003088	C0042109	M0022414	D014581	Urticaria
N0000002261	C0029461	M0015554	D010025	Osteoradionecrosis
N0000002898	C0039292	M0021031	D013631	Tangier Disease
N0000181225	C1562503	M0501342	D054080	Vein of Galen Malformations
N0000002822	C0038220	M0020463	D013226	Status Epilepticus
N0000002251	C0221204	M0015536	D010014	Osteolysis
N0000010932	C0936215	M0378655	D026681	Vitamin B 6 Deficiency
N0000004106	C0577628	M0029966	D020315	Latex Hypersensitivity
N0000001807	C0023308	M0012346	D007905	Lens Diseases
N0000002211	C0028882	M0015226	D009810	Odontoma
N0000002454	C0032463	M0017168	D011087	Polycythemia Vera
N0000001852	C0023794	M0012566	D008064	Lipidoses
N0000000698	C0086543	M0003628	D002386	Cataract
N0000003620	C1540912	M0026741	D017681	Hypereosinophilic Syndrome
N0000003417	C0085083	M0025157	D016471	Ovarian Hyperstimulation Syndrome
N0000003422	C0085096	M0025176	D016491	Peripheral Vascular Diseases
N0000004243	C1567435	M0355423	D021782	Multicystic Dysplastic Kidney
N0000001101	C0014173	M0007412	D004714	Endometrial Hyperplasia
N0000000401	C0002902	M0001142	D000757	Anencephaly
N0000003713	C0036631	M0027468	D018239	Seminoma
N0000003373	C0080178	M0024641	D016135	Spinal Dysraphism
N0000001011	C0013312	M0006891	D004387	Dupuytren Contracture
N0000002797	C0037933	M0020315	D013122	Spinal Diseases
N0000003939	C0524801	M0029062	D019572	Retinal Neoplasms
N0000189373	C0596263	M0576500	D063646	Carcinogenesis
N0000010999	C0334695	M0407054	D036821	Endometrial Stromal Tumors
N0000000914	C0497327	M0005797	D003704	Dementia
N0000001816	C0023420	M0012383	D007939	Leukemia L1210
N0000003342	C0035320	M0024285	D015861	Retinal Neovascularization
N0000003183	C0043407	M0023096	D015009	Yersinia Infections
N0000001746	C0022650	M0012008	D007669	Kidney Calculi
N0000003747	C0206700	M0027514	D018283	Cystadenocarcinoma, Papillary
N0000001356	C0017675	M0009309	D005928	Glossitis
N0000183399	C0269185	M0555060	D060725	Uterine Retroversion
N0000003734	C0206685	M0027495	D018267	Carcinoma, Acinar Cell
N0000002143	C0027670	M0014611	D009384	Paraneoplastic Endocrine Syndromes
N0000003466	C0085278	M0025484	D016736	Antiphospholipid Syndrome
N0000002517	C0033805	M0017948	D011546	Pseudohypoaldosteronism
N0000011034	C0271568	M0452907	D046150	Laron Syndrome
N0000003441	C0085165	M0025293	D016583	Enzootic Bovine Leukosis
N0000001316	C0017155	M0009017	D005758	Gastritis, Hypertrophic
N0000001632	C0020598	M0010891	D006996	Hypocalcemia
N0000002891	C0039235	M0021000	D013613	Tachycardia, Ectopic Junctional
N0000001410	C0018567	M0009782	D006229	Hand Dermatoses
N0000010955	C0947622	M0439321	D041761	Cholecystolithiasis
N0000000444	C0003505	M0001555	D001023	Aortic Valve Prolapse
N0000003306	C0027516	M0024086	D015701	Near Drowning
N0000001713	C0022336	M0011818	D007562	Creutzfeldt-Jakob Syndrome
N0000181134	C0343192	M0523398	D055953	Microscopic Polyangiitis
N0000004153	C0751950	M0328288	D020511	Neuromuscular Junction Diseases
N0000003526	C0162530	M0025969	D017092	Porphyria, Erythropoietic
N0000000835	C0009766	M0005017	D003233	Conjunctivitis, Allergic
N0000001144	C0041834	M0007679	D004890	Erythema
N0000003898	C0282687	M0028540	D019142	Hemorrhagic Fever, Ebola
N0000001005	C0013289	M0006881	D004378	Duodenal Diseases
N0000002564	C0034359	M0018306	D011776	Pyuria
N0000181093	C0266999	M0503312	D054243	Vesicular Stomatitis
N0000001203	C0015526	M0008159	D005175	Factor XII Deficiency
N0000003349	C0003079	M0024304	D015875	Anisocoria
N0000004090	C0586323	M0328090	D020270	Alcohol Withdrawal Seizures
N0000002644	C0035585	M0019098	D012282	Rickettsia Infections
N0000181019	C0013428	M0491855	D053159	Dysuria
N0000001833	C0023521	M0012415	D007965	Leukodystrophy, Globoid Cell
N0000003450	C0085207	M0025360	D016640	Diabetes, Gestational
N0000183403	C0275524	M0552827	D060085	Coinfection
N0000002231	C0029182	M0015377	D009916	Orbital Diseases
N0000004251	C0079504	M0024620	D022861	Hermanski-Pudlak Syndrome
N0000001567	C0020258	M0010700	D006850	Hydrocephalus, Normal Pressure
N0000003891	C0282616	M0028443	D019053	HIV Enteropathy
N0000181190	C0948355	M0501462	D054084	Myocardial Bridging
N0000002743	C0037052	M0019828	D012804	Sick Sinus Syndrome
N0000001427	C0018784	M0009934	D006319	Hearing Loss, Sensorineural
N0000003902	C0282193	M0028592	D019190	Iron Overload
N0000002688	C0036330	M0019484	D012555	Schistosomiasis mansoni
N0000001757	C0022716	M0012055	D007706	Menkes Kinky Hair Syndrome
N0000001241	C0015959	M0008416	D005331	Fetomaternal Transfusion
N0000002525	C0033847	M0017968	D011561	Pseudoxanthoma Elasticum
N0000000617	C0006266	M0002967	D001986	Bronchial Spasm
N0000002673	C0036213	M0019432	D012511	Sarcoma 37
N0000002869	C0038994	M0020924	D013547	Sweating, Gustatory
N0000001612	C0020523	M0010854	D006969	Hypersensitivity, Immediate
N0000001848	C0023772	M0012549	D008052	Lipid Metabolism, Inborn Errors
N0000000730	C0007820	M0003914	D002561	Cerebrovascular Disorders
N0000001195	C0015467	M0008123	D005156	Facial Neuralgia
N0000001752	C0022667	M0012022	D007681	Kidney Papillary Necrosis
N0000001220	C0015732	M0008281	D005242	Fecal Incontinence
N0000001154	C0014836	M0007733	D004927	Escherichia coli Infections
N0000000529	C0004698	M0002155	D001449	Balkan Nephropathy
N0000181257	C1955869	M0502926	D054220	Malformations of Cortical Development
N0000001108	C0014347	M0007472	D004756	Enterobacteriaceae Infections
N0000003851	C0003862	M0028099	D018771	Arthralgia
N0000001668	C0021053	M0011156	D007154	Immune System Diseases
N0000001452	C0018920	M0010034	D006392	Hemangioma, Cavernous
N0000001249	C0016059	M0008453	D005355	Fibrosis
N0000003804	C0206754	M0027590	D018358	Neuroendocrine Tumors
N0000001485	C0019087	M0010157	D006474	Hemorrhagic Disorders
N0000002667	C0036118	M0019394	D012481	Salmonella Infections, Animal
N0000011039	C0474368	M0463040	D048949	Labor Pain
N0000181129	C0340231	M0513585	D055089	Tracheobronchomalacia
N0000003097	C0042161	M0022443	D014603	Uveal Diseases
N0000183431	C2314882	M0555175	D060737	Reproductive Tract Infections
N0000002834	C0038364	M0020553	D013282	Stomatitis, Denture
N0000001925	C0024533	M0012911	D008289	Malaria, Avian
N0000003558	C0162666	M0026153	D017237	Mitochondrial Encephalomyopathies
N0000010939	C0265985	M0464110	D049328	Mongolian Spot
N0000004188	C0752166	M0328149	D020788	Bardet-Biedl Syndrome
N0000181238	C1720965	M0492747	D053359	Ectodermal Dysplasia 3, Anhidrotic
N0000004055	C0161408	M0328395	D020220	Facial Nerve Injuries
N0000001291	C0016697	M0008832	D005611	Freemartinism
N0000001384	C0018133	M0009578	D006086	Graft vs Host Disease
N0000000299	C0001255	M0000289	D000193	Actinomycetales Infections
N0000002274	C0919267	M0015593	D010051	Ovarian Neoplasms
N0000003208	C0020499	M0023380	D015218	Hyperostosis, Sternocostoclavicular
N0000004027	C0456511	M0328303	D020188	Sleep Paralysis
N0000004064	C0751837	M0328400	D020234	Gait Ataxia
N0000171625	C1367554	M0474809	D050398	Adamantinoma
N0000010244	C0032980			Pregnancy Second Trimester
N0000011006	C1136339	M0419929	D039941	Bifidobacteriales Infections
N0000001691	C0021603	M0011403	D007319	Sleep Initiation and Maintenance Disorders
N0000003194	C0023702	M0023309	D015168	Lightning Injuries
N0000003457	C0085253	M0025446	D016706	Still's Disease, Adult-Onset
N0000000355	C0002063	M0000714	D000471	Alkalosis
N0000002970	C0040427	M0021668	D014071	Tooth Abnormalities
N0000001915	C0024419	M0012865	D008258	Waldenstrom Macroglobulinemia
N0000001402	C0018523	M0009761	D006211	Pantothenate Kinase-Associated Neurodegeneration
N0000000950	C0011849	M0006148	D003920	Diabetes Mellitus
N0000010929	C0268393	M0334468	D028243	Cerebral Amyloid Angiopathy, Familial
N0000002947	C0040150	M0021492	D013969	Thyroiditis, Suppurative
N0000171655	C0007869	M0003938	D002579	Uterine Cervical Erosion
N0000000706	C0007622	M0003772	D002472	Cell Transformation, Viral
N0000003772	C0206721	M0027542	D018308	Papilloma, Inverted
N0000002038	C0026644	M0014137	D009066	Mouth, Edentulous
N0000002401	C0031900	M0016846	D010855	Pierre Robin Syndrome
N0000001164	C0014866	M0007752	D004940	Esophageal Stenosis
N0000003310	C0018200	M0024165	D015769	Granuloma, Respiratory Tract
N0000182215	C1504464	M0539438	D057867	Endoleak
N0000000522	C0004604	M0002115	D001416	Back Pain
N0000002503	C0033626	M0017855	D011488	Protein Deficiency
N0000011068	C0006157	M0002916	D001946	Breech Presentation
N0000002041	C0026683	M0014160	D009078	Mucocele
N0000003712	C0206661	M0027467	D018238	Gonadoblastoma
N0000002687	C0036329	M0019483	D012554	Schistosomiasis japonica
N0000003465	C0085273	M0025479	D016731	Erythema Infectiosum
N0000001495	C0019123	M0010185	D006491	Hemothorax
N0000181148	C0432306	M0494619	D053560	Ichthyosis Bullosa of Siemens
N0000001187	C0015423	M0008105	D005141	Eyelid Diseases
N0000003629	C0206171	M0026784	D017714	Community-Acquired Infections
N0000000364	C0002418	M0000854	D000550	Amblyopia
N0000011117	C0559469	M0351829	D021181	Egg Hypersensitivity
N0000001308	C0017083	M0008988	D005733	Gangliosidoses
N0000000493	C0004031	M0001851	D001229	Aspergillosis, Allergic Bronchopulmonary
N0000003318	C0018425	M0024200	D015799	Gyrate Atrophy
N0000001257	C0016167	M0008525	D005401	Fissure in Ano
N0000000398	C0002894	M0001139	D000754	Anemia, Refractory, with Excess of Blasts
N0000010308	C0425311			Current Non-smoker
N0000002471	C0032870	M0017424	D011213	Poxviridae Infections
N0000003366	C0079584	M0024611	D016112	Ichthyosis Vulgaris
N0000000523	C0004615	M0002125	D001423	Bacterial Infections and Mycoses
N0000000920	C0011346	M0005870	D003741	Dental Deposits
N0000181275	C2350270	M0513616	D055093	Periodontal Atrophy
N0000001207	C0015558	M0008173	D005185	Fallopian Tube Neoplasms
N0000003270	C0023487	M0023830	D015473	Leukemia, Promyelocytic, Acute
N0000003845	C0242916	M0028015	D018701	Mononegavirales Infections
N0000004072	C0751843	M0328339	D020243	Infarction, Anterior Cerebral Artery
N0000001709	C0022078	M0011716	D007499	Iris Diseases
N0000003324	C0015404	M0024228	D015818	Eye Infections, Bacterial
N0000185625	C3165062	M0561629	D062108	May-Thurner Syndrome
N0000004202	C0752191	M0328302	D020818	Neuroschistosomiasis
N0000002021	C0026269	M0013960	D008946	Mitral Valve Stenosis
N0000004182	C0393735	M0328324	D020773	Headache Disorders
N0000001385	C0018188	M0009605	D006099	Granuloma
N0000000584	C0005940	M0002776	D001847	Bone Diseases
N0000182201	C0574960	M0543242	D058566	Sacroiliitis
N0000002733	C0036986	M0019790	D012774	Shock, Traumatic
N0000003273	C0023479	M0023837	D015479	Leukemia, Myelomonocytic, Acute
N0000002337	C0030636	M0016001	D010326	Pasteurella Infections
N0000002009	C0025874	M0013711	D008796	Metrorrhagia
N0000000746	C0008031	M0004035	D002637	Chest Pain
N0000000888	C0010631	M0005526	D003536	Cystadenocarcinoma
N0000002946	C0040149	M0021490	D013968	Thyroiditis, Subacute
N0000002303	C0522224	M0015877	D010243	Paralysis
N0000004140	C0149940	M0328289	D020426	Sciatic Neuropathy
N0000001726	C0022398	M0011856	D007589	Job Syndrome
N0000010966	C0276180	M0450226	D045908	Monkeypox
N0000001350	C0017653	M0009296	D005918	Glomus Tumor
N0000002842	C0038478	M0020626	D013330	Struma Ovarii
N0000010931	C0751651	M0335637	D028361	Mitochondrial Diseases
N0000181018	C0013363	M0002015	D054969	Primary Dysautonomias
N0000001081	C0014060	M0007359	D004674	Encephalitis, St. Louis
N0000000623	C0006281	M0002977	D001994	Bronchogenic Cyst
N0000001960	C0025061	M0013197	D008477	Mediastinal Diseases
N0000001434	C0018801	M0009953	D006333	Heart Failure
N0000002476	C0032927	M0017448	D011230	Precancerous Conditions
N0000000815	C0009377	M0004819	D003112	Colonic Pseudo-Obstruction
N0000003423	C0085106	M0025199	D016506	Pemphigus, Benign Familial
N0000004231	C0752332	M0328118	D020945	Lupus Vasculitis, Central Nervous System
N0000003848	C0242966	M0028081	D018746	Systemic Inflammatory Response Syndrome
N0000002483	C0032969	M0017481	D011254	Pregnancy in Diabetics
N0000003493	C0085396	M0025673	D016870	Neisseriaceae Infections
N0000000769	C0936248	M0004327	D002812	Chondroma
N0000000979	C0012569	M0006527	D004172	Diplopia
N0000003433	C0085132	M0025240	D016538	Mucopolysaccharidosis VII
N0000183373	C0152255	M0549838	D059407	Pinguecula
N0000183394	C0262534	M0550239	D059466	White Coat Hypertension
N0000000901	C0011053	M0005693	D003638	Deafness
N0000001592	C0020473	M0010830	D006949	Hyperlipidemias
N0000003268	C0023437	M0023828	D015471	Leukemia, Basophilic, Acute
N0000182180	C0267878	M0538968	D057792	Mirizzi Syndrome
N0000003985	C0338437	M0029731	D020019	Neurocysticercosis
N0000001745	C0022638	M0012000	D007662	Ketosis
N0000003291	C0029128	M0023938	D015594	Optic Disk Drusen
N0000000486	C0003910	M0001762	D001184	Articulation Disorders
N0000002469	C0032807	M0017371	D011186	Postphlebitic Syndrome
N0000003089	C0042111	M0022417	D014582	Urticaria Pigmentosa
N0000001527	C0019342	M0010276	D006558	Herpes Genitalis
N0000181112	C0271694	M0462327	D052496	Lipodystrophy, Familial Partial
N0000001862	C0023890	M0012636	D008103	Liver Cirrhosis
N0000004086	C0751863	M0328530	D020265	Lead Poisoning, Nervous System, Adult
N0000001840	C0023532	M0012423	D007972	Leukoplakia, Oral
N0000001250	C0016053	M0008454	D005356	Fibromyalgia
N0000003387	C0079864	M0024700	D016183	Murine Acquired Immunodeficiency Syndrome
N0000001734	C0022568	M0011962	D007634	Keratitis
N0000181154	C0475801	M0504617	D054403	Leukemia, Prolymphocytic, B-Cell
N0000002068	C0026865	M0014264	D009145	Mushroom Poisoning
N0000002416	C0032087	M0016961	D010939	Plant Poisoning
N0000001680	C0021308	M0011293	D007238	Infarction
N0000001020	C0013377	M0006918	D004407	Dysgerminoma
N0000001213	C0015652	M0008242	D005211	Fascioliasis
N0000001619	C0020542	M0010865	D006976	Hypertension, Pulmonary
N0000003044	C0041322	M0022124	D014392	Tuberculosis, Ocular
N0000002345	C0030804	M0016110	D010390	Pemphigoid, Benign Mucous Membrane
N0000011107	C1135993	M0404623	D034081	Wasting Disease, Chronic
N0000001934	C0024668	M0012963	D008325	Mammary Neoplasms, Experimental
N0000001982	C0025290	M0013366	D008582	Meningitis, Aseptic
N0000002325	C0030552	M0015948	D010291	Paresis
N0000004045	C0394016	M0328365	D020207	Coma, Post-Head Injury
N0000181169	C0730328	M0529385	D056833	Central Serous Chorioretinopathy
N0000002494	C0033247	M0017633	D011350	Proctocolitis
N0000001941	C0024759	M0013012	D008368	Mansonelliasis
N0000001446	C0018839	M0009983	D006359	Heat Exhaustion
N0000002785	C0037763	M0020203	D013035	Spasm
N0000010206	C0682053			Toddler
N0000002930	C0040021	M0021426	D013919	Thromboangiitis Obliterans
N0000003754	C0206708	M0027524	D018290	Cervical Intraepithelial Neoplasia
N0000002982	C0040457	M0021701	D014096	Tooth, Supernumerary
N0000001120	C0014511	M0007546	D004814	Epidermal Cyst
N0000003167	C0043207	M0022993	D014929	Wolfram Syndrome
N0000003513	C0085438	M0025748	D016921	Meningitis, Fungal
N0000002421	C0032227	M0017043	D010996	Pleural Effusion
N0000001905	C0024299	M0012817	D008223	Lymphoma
N0000001061	C1556061	M0007166	D004556	Electric Injuries
N0000002576	C0034734	M0018534	D011928	Raynaud Disease
N0000003246	C2004493	M0023806	D015448	Leukemia, B-Cell
N0000003232	C0036412	M0023770	D015422	Scleral Diseases
N0000001511	C2239176	M0010236	D006528	Carcinoma, Hepatocellular
N0000002114	C0027497	M0014528	D009325	Nausea
N0000181066	C0221043	M0533461	D056929	Liddle Syndrome
N0000000615	C0006262	M0002964	D001983	Bronchial Fistula
N0000001420	C0018775	M0009927	D006312	Hearing Loss, Bilateral
N0000000853	C0010038	M0005183	D003318	Corneal Opacity
N0000001980	C0025287	M0013364	D008580	Meningism
N0000002048	C0026718	M0014180	D009091	Mucormycosis
N0000004012	C0175683	M0328360	D020159	Citrullinemia
N0000000758	C0008311	M0004228	D002761	Cholangitis
N0000003778	C0206726	M0027551	D018316	Gliosarcoma
N0000002690	C0036341	M0019489	D012559	Schizophrenia
N0000004228	C0016399	M0328389	D020938	Epilepsy, Partial, Motor
N0000003636	C0206231	M0026847	D017760	Bone Malalignment
N0000001166	C0014869	M0007754	D004942	Esophagitis, Peptic
N0000002682	C0036271	M0019465	D012536	Scalp Dermatoses
N0000000304	C0001396	M0000337	D000219	Adams-Stokes Syndrome
N0000010956	C1175175	M0447378	D045169	Severe Acute Respiratory Syndrome
N0000011148	C1135812	M0396886	D031222	Patellar Dislocation
N0000001741	C0022593	M0011970	D007642	Keratosis
N0000002660	C0036039	M0019341	D012448	Sadism
N0000000825	C0009450	M0004868	D003141	Communicable Diseases
N0000003583	C0175167	M0026528	D017486	Acneiform Eruptions
N0000003280	C0035372	M0023877	D015518	Rett Syndrome
N0000003763	C0206768	M0027533	D018299	Neoplasms, Ductal, Lobular, and Medullary
N0000183368	C0029895	M0549022	D059249	Otomycosis
N0000182208	C0878681	M0540326	D057973	Dent Disease
N0000002092	C0027092	M0014358	D009216	Myopia
N0000002197	C0028715	M0015124	D009750	Nutritional and Metabolic Diseases
N0000000989	C0012814	M0006631	D004239	Diverticulitis, Colonic
N0000000511	C0004303	M0001964	D001304	Auditory Diseases, Central
N0000003992	C0600467	M0029794	D020078	Neurogenic Inflammation
N0000171676	C0032339	M0017095	D011038	Rothmund-Thomson Syndrome
N0000000313	C0001433	M0000376	D000239	Adenoma, Acidophil
N0000003590	C0162839	M0026551	D017499	Porokeratosis
N0000002629	C0035436	M0019009	D012213	Rheumatic Fever
N0000001978	C0025284	M0013360	D008577	Meningeal Neoplasms
N0000002861	C0038833	M0020822	D013479	Superior Vena Cava Syndrome
N0000002277	C0030186	M0015741	D010145	Paget Disease, Extramammary
N0000001931	C0399523	M0012945	D008311	Malocclusion, Angle Class I
N0000004119	C0346326	M0328319	D020339	Optic Nerve Glioma
N0000003658	C0206609	M0027405	D018178	Flaviviridae Infections
N0000003396	C0079747	M0025077	D008228	Lymphoma, Low-Grade
N0000181286	C2717760	M0523647	D055964	Alien Hand Syndrome
N0000002314	C0030482	M0015900	D010262	Paraphilias
N0000000475	C0003855	M0001737	D001164	Arteriovenous Fistula
N0000000834	C0009765	M0005016	D003232	Conjunctivitis, Acute Hemorrhagic
N0000000347	C0001889	M0000615	D000405	Akinetic Mutism
N0000001910	C0024305	M0012822	D008228	Lymphoma, Non-Hodgkin
N0000002371	C0031094	M0016336	D010514	Periodontal Pocket
N0000002136	C0027662	M0014600	D009377	Multiple Endocrine Neoplasia
N0000002790	C0037889	M0020294	D013103	Spherocytosis, Hereditary
N0000002264	C0029877	M0015561	D010031	Otitis
N0000001268	C0016427	M0008666	D005497	Follicular Cyst
N0000002941	C0040127	M0021477	D013958	Thyroid Crisis
N0000002461	C0032617	M0017271	D011141	Polyuria
N0000000793	C0008925	M0004549	D002972	Cleft Palate
N0000183381	C0175754	M0519523	D061085	Agenesis of Corpus Callosum
N0000001174	C1442903	M0008036	D005096	Exostoses
N0000000307	C0001420	M0000361	D000231	Adenocarcinoma, Papillary
N0000004161	C0334634	M0328571	D020522	Lymphoma, Mantle-Cell
N0000002011	C0025990	M0013786	D008844	Micrognathism
N0000004125	C0338430	M0328110	D020363	Limbic Encephalitis
N0000001320	C0017178	M0009033	D005767	Gastrointestinal Diseases
N0000181203	C1266119	M0504378	D054364	Solitary Fibrous Tumors
N0000003004	C0040820	M0021868	D014201	Trematode Infections
N0000183405	C0276758	M0554477	D060585	Fusariosis
N0000003007	C0040843	M0021878	D014211	Treponemal Infections
N0000003239	C0030327	M0023786	D015435	Panniculitis, Lupus Erythematosus
N0000003487	C0085388	M0025665	D016862	Tuberculoma, Intracranial
N0000003672	C0206625	M0027427	D018198	Mixed Tumor, Malignant
N0000002605	C0035258	M0018926	D012148	Restless Legs Syndrome
N0000000863	C0010200	M0005255	D003371	Cough
N0000001429	C0018790	M0009938	D006323	Heart Arrest
N0000182232	C2936251	M0539410	D057851	Posterior Capsular Rupture, Ocular
N0000002777	C0037379	M0019987	D012909	Snake Bites
N0000003790	C0206736	M0027564	D018329	Nevus, Blue
N0000182206	C0877445	M0542149	D058387	Candidemia
N0000003880	C0282548	M0028290	D018921	Leukostasis
N0000003651	C0271650	M0027356	D018149	Glucose Intolerance
N0000003128	C0042769	M0022758	D014777	Virus Diseases
N0000000993	C0012922	M0006675	D004266	DNA Virus Infections
N0000002584	C0034902	M0018667	D012010	Red-Cell Aplasia, Pure
N0000001025	C0013390	M0006924	D004412	Dysmenorrhea
N0000010949	C0270726	M0415670	D038261	Alexander Disease
N0000002053	C0026771	M0014198	D009104	Multiple Trauma
N0000000269	C0000809	M0000032	D000026	Abortion, Habitual
N0000001288	C0016663	M0008809	D005598	Fractures, Spontaneous
N0000001394	C0018273	M0009654	D006130	Growth Disorders
N0000002806	C0037999	M0020370	D013160	Splenic Neoplasms
N0000001758	C0022729	M0012059	D007710	Klebsiella Infections
N0000000278	C0000887	M0000077	D000051	Acantholysis
N0000004036	C0273058	M0328610	D020198	Intracranial Hemorrhage, Traumatic
N0000003603	C0206062	M0026626	D017563	Lung Diseases, Interstitial
N0000001996	C0025427	M0013450	D008630	Mercury Poisoning
N0000001019	C0013374	M0006917	D004406	Dysgammaglobulinemia
N0000003112	C0042376	M0022536	D014653	Vascular Headaches
N0000001543	C0019572	M0010381	D006628	Hirsutism
N0000000760	C0008350	M0004241	D002769	Cholelithiasis
N0000000971	C0012236	M0006369	D004062	DiGeorge Syndrome
N0000003284	C0037886	M0023884	D015524	Sphenoid Sinusitis
N0000004180	C0752140	M0328608	D020766	Intracranial Embolism
N0000003015	C0040961	M0021948	D014262	Tricuspid Valve Insufficiency
N0000002174	C0027858	M0014718	D009463	Neuroma
N0000000868	C0010273	M0005284	D003394	Craniofacial Dysostosis
N0000003544	C0162625	M0026095	D017190	Secernentea Infections
N0000003618	C0206138	M0026732	D017675	CREST Syndrome
N0000000634	C0006430	M0003062	D002054	Burning Mouth Syndrome
N0000001049	C0013570	M0007030	D004474	Ecthyma, Contagious
N0000000335	C0001748	M0000543	D000355	African Horse Sickness
N0000185618	C0556346	M0573245	D063425	Binge Drinking
N0000003814	C0242644	M0027661	D018437	Brown-Sequard Syndrome
N0000181175	C0751706	M0334038	D057178	Primary Progressive Nonfluent Aphasia
N0000003827	C0242699	M0027730	D018488	Bone Demineralization, Pathologic
N0000001955	C0024961	M0013140	D008446	Maxillofacial Injuries
N0000001342	C0017574	M0009245	D005891	Gingivitis
N0000000907	C0011119	M0005736	D003665	Decompression Sickness
N0000004116	C0221166	M0328241	D020335	Paraparesis
N0000181183	C0877055	M0526064	D056150	Acute Generalized Exanthematous Pustulosis
N0000001804	C0023281	M0012333	D007896	Leishmaniasis
N0000003943	C0600142	M0029082	D019584	Hot Flashes
N0000002904	C0039483	M0021147	D013700	Giant Cell Arteritis
N0000181248	C1837249	M0501350	D054081	Neuronal Migration Disorders
N0000001940	C0024748	M0013006	D008363	alpha-Mannosidosis
N0000003592	C0162848	M0026574	D017512	Lichenoid Eruptions
N0000000452	C1510456	M0001576	D001041	Aphasia, Wernicke
N0000011071	C0559470	M0351836	D021183	Peanut Hypersensitivity
N0000003948	C0019100	M0029094	D019595	Severe Dengue
N0000002656	C0035921	M0019293	D012410	Rubella Syndrome, Congenital
N0000002520	C0033822	M0017956	D011553	Pseudomyxoma Peritonei
N0000002853	C0038558	M0020668	D013365	Submandibular Gland Neoplasms
N0000000843	C0009917	M0005128	D003286	Contracture
N0000003155	C0043068	M0022902	D014884	Waterhouse-Friderichsen Syndrome
N0000000315	C0001487	M0000405	D000258	Adenovirus Infections, Human
N0000003588	C0162835	M0026547	D017496	Hypopigmentation
N0000000467	C0003803	M0001704	D001139	Arnold-Chiari Malformation
N0000003634	C0206186	M0026800	D017733	Leukoplakia, Hairy
N0000002650	C0035690	M0019160	D012327	RNA Virus Infections
N0000002810	C0038013	M0020377	D013167	Spondylitis, Ankylosing
N0000001359	C0017920	M0009351	D005953	Glycogen Storage Disease Type I
N0000002991	C0040560	M0021734	D014125	Toxoplasmosis, Congenital
N0000171652	C0022783	M0012079	D007724	Vulvar Lichen Sclerosus
N0000001534	C0019521	M0010343	D006606	Hiccup
N0000000534	C0004775	M0002194	D001477	Bartter Syndrome
N0000000666	C0007098	M0003430	D002279	Carcinoma 256, Walker
N0000003968	C0149654	M0029628	D019955	Conduct Disorder
N0000181085	C0265318	M0499750	D054000	Nevus, Sebaceous of Jadassohn
N0000001784	C0023055	M0012231	D007822	Laryngeal Neoplasms
N0000002443	C0032320	M0017080	D011027	Pneumoperitoneum
N0000001828	C0023488	M0012398	D007953	Leukemia, Radiation-Induced
N0000004088	C0751865	M0328091	D020268	Alcohol-Induced Disorders, Nervous System
N0000003684	C0206636	M0027439	D018210	Chondromatosis
N0000000544	C0005395	M0002478	D001649	Bile Duct Diseases
N0000000418	C0399352	M0001261	D000848	Anodontia
N0000002552	C0034139	M0018168	D011686	Purine-Pyrimidine Metabolism, Inborn Errors
N0000000603	C0006109	M0002872	D001925	Brain Damage, Chronic
N0000003133	C0042847	M0022796	D014806	Vitamin B 12 Deficiency
