doid	name	type
DOID:13295	Crater-like holes of optic disc (disorder)	exact-synonym
DOID:13295	Crater-like optic disc holes (disorder)	exact-synonym
DOID:2725	capillary hemangioma	name
DOID:2725	Capillary hemangioma (disorder)	exact-synonym
DOID:2725	Capillary hemangioma (morphologic abnormality)	exact-synonym
DOID:2725	cellular hemangioma of Infancy (Strawberry nevus)	exact-synonym
DOID:2725	Congenital vascular hamartoma	exact-synonym
DOID:2725	Congenital vascular naevus	exact-synonym
DOID:2725	Infantile hemangioma	exact-synonym
DOID:2725	Juvenile hemangioma	exact-synonym
DOID:2725	Strawberry haemangioma	exact-synonym
DOID:2725	Strawberry haemangioma	exact-synonym
DOID:2725	Strawberry nevus	exact-synonym
DOID:2725	Strawberry nevus of skin (disorder)	exact-synonym
DOID:5427	urinary bladder villous adenoma	name
DOID:5427	villous adenoma of urinary bladder	exact-synonym
DOID:6789	vulvar childhood botryoid-type embryonal rhabdomyosarcoma	name
DOID:6789	childhood sarcoma Botryoides of the Vulva	exact-synonym
DOID:4546	pediatric mesenchymal chondrosarcoma	name
DOID:11389	subdural empyema	name
DOID:11389	Subdural abscess (disorder)	exact-synonym
DOID:2326	gastroenteritis	name
DOID:2326	cholera morbus	exact-synonym
DOID:2326	infectious colitis, enteritis and gastroenteritis	exact-synonym
DOID:422	congenital structural myopathy	name
DOID:4554	type C thymoma	name
DOID:4554	Thymoma, type C (morphologic abnormality)	exact-synonym
DOID:14679	VACTERL association	name
DOID:14679	VACTERL/VATER association	exact-synonym
DOID:14679	vater ASSOCIATION	exact-synonym
DOID:14679	vater association (disorder)	exact-synonym
DOID:14679	vater association [dup] (disorder)	exact-synonym
DOID:14679	VATER syndrome	related-synonym
DOID:6788	vagina botryoid rhabdomyosarcoma	name
DOID:4331	burning mouth syndrome	name
DOID:4331	Orodynia	exact-synonym
DOID:4331	Stomatopyrosis	exact-synonym
DOID:680	tauopathy	name
DOID:8802	trachea carcinoma in situ	name
DOID:8802	carcinoma in situ of trachea (disorder)	exact-synonym
DOID:8802	Tracheal carcinoma In situ	exact-synonym
DOID:9505	cannabis abuse	name
DOID:9505	marijuana abuse	exact-synonym
DOID:543	dystonia	name
DOID:543	dystonic disease	exact-synonym
DOID:4548	extraskeletal mesenchymal chondrosarcoma	name
DOID:4548	extraskeletal mesenchymal chondrosarcoma (disorder)	exact-synonym
DOID:4548	mesenchymal extraosseous chondrosarcoma	exact-synonym
DOID:6762	sternum lymphoma	name
DOID:6762	Lymphoma of Sternum	exact-synonym
DOID:6762	lymphoma of the sternum	exact-synonym
DOID:6811	juvenile pilocytic astrocytoma	name
DOID:13282	intestinal tuberculosis	name
DOID:13282	tuberculosis of intestine	exact-synonym
DOID:782	renal infectious disease	name
DOID:5267	anus leiomyosarcoma	name
DOID:5267	leiomyosarcoma of anus	exact-synonym
DOID:8805	intermediate coronary syndrome	name
DOID:8805	(Angina: [crescendo] or [unstable] or [at rest]) or (preinfarction syndrome) or (impending infarction)	exact-synonym
DOID:8805	Angina at rest	exact-synonym
DOID:8805	Angina at rest	exact-synonym
DOID:8805	Angina at rest	exact-synonym
DOID:8805	Anginal chest pain at rest	exact-synonym
DOID:8805	Impending infarction (disorder)	exact-synonym
DOID:8805	Preinfarction angina	exact-synonym
DOID:8805	Preinfarction angina (disorder)	exact-synonym
DOID:8805	Unstable angina	exact-synonym
DOID:8805	Unstable angina	exact-synonym
DOID:8805	Unstable angina	exact-synonym
DOID:8805	Unstable angina	exact-synonym
DOID:8805	Worsening angina	exact-synonym
DOID:8805	Worsening angina	exact-synonym
DOID:8805	Worsening angina	exact-synonym
DOID:4551	anus neoplasm	name
DOID:4551	anal neoplasm	exact-synonym
DOID:4551	anal tumors	exact-synonym
DOID:4551	neoplasm of anus (disorder)	exact-synonym
DOID:5433	urinary tract papillary transitional cell benign neoplasm	name
DOID:5433	Inverted papilloma of urinary tract	exact-synonym
DOID:5433	Papillary transitional cell neoplasm of the urinary tract	exact-synonym
DOID:5433	urinary tract inverted papilloma	exact-synonym
DOID:10320	asbestosis	name
DOID:10320	Asbestosis NOS (disorder)	exact-synonym
DOID:14453	farmer's lung	name
DOID:14453	farmer lung	exact-synonym
DOID:14453	Farmers lung	exact-synonym
DOID:12732	intermediate uveitis	name
DOID:12732	chronic cyclitis	exact-synonym
DOID:12732	peripheral uveoretinitis	exact-synonym
DOID:10612	allergic urticaria	name
DOID:10612	Allergic urticaria (disorder)	exact-synonym
DOID:5432	bladder papillary transitional cell neoplasm	name
DOID:5432	urinary bladder Papillary Urothelial neoplasm	exact-synonym
DOID:7039	Borst-Jadassohn intraepidermal carcinoma	name
DOID:7039	Bowen's disease, clonal (disorder)	exact-synonym
DOID:7039	Intraepidermal Epithelioma of Jadassohn	exact-synonym
DOID:7039	Intraepidermal epithelioma of Jadassohn (disorder)	exact-synonym
DOID:7039	Intraepidermal epithelioma of Jadassohn (morphologic abnormality)	exact-synonym
DOID:6809	vaginal tubular adenoma	name
DOID:7607	chief cell adenoma	name
DOID:7607	Chief cell adenoma of Parathyroid gland	exact-synonym
DOID:5437	intrahepatic bile duct adenoma	name
DOID:5437	adenoma of intrahepatic bile duct	related-synonym
DOID:5437	adenoma of the Intrahepatic bile duct	exact-synonym
DOID:1273	respiratory syncytial virus infectious disease	name
DOID:5271	small intestine leiomyosarcoma	name
DOID:5271	leiomyosarcoma of the small Bowel	exact-synonym
DOID:5271	smooth muscle connective tissue tumor	related-synonym
DOID:5435	variant Creutzfeldt-Jakob disease	name
DOID:5435	bovine spongiform encephalopathy	exact-synonym
DOID:5435	Bovine spongiform encephalopathy (disorder)	exact-synonym
DOID:2338	mandibular cancer	name
DOID:2338	malignant neoplasm of inferior maxilla	exact-synonym
DOID:2338	malignant neoplasm of lower Jaw bone	exact-synonym
DOID:2338	malignant neoplasm of mandible	related-synonym
DOID:2338	mandible cancer	exact-synonym
DOID:2338	mandibular neoplasm	related-synonym
DOID:2338	neoplasm of mandible	exact-synonym
DOID:12733	hypercementosis	name
DOID:12733	Cementation hyperplasia	exact-synonym
DOID:12733	hypercementosis (disorder)	exact-synonym
DOID:13549	interval angle-closure glaucoma	name
DOID:13549	Angle-closure glaucoma, subacute	exact-synonym
DOID:13549	Intermittent angle-closure glaucoma	exact-synonym
DOID:13549	Prodromal angle closure glaucoma	exact-synonym
DOID:8642	Hodgkin's paragranuloma	name
DOID:8642	Hodgkin paragranuloma	exact-synonym
DOID:6812	childhood pilocytic astrocytoma	name
DOID:6812	pediatric Pilocytic astrocytoma	exact-synonym
DOID:9409	diabetes insipidus	name
DOID:4562	subacute bacterial endocarditis	name
DOID:4562	Endocarditis lenta	exact-synonym
DOID:4562	SBE - Subacute bacterial endocarditis	exact-synonym
DOID:4562	Subacute bacterial endocarditis	exact-synonym
DOID:4562	Subacute bacterial endocarditis (disorder)	exact-synonym
DOID:4562	Subacute endocarditis, lenta	exact-synonym
DOID:2139	paraurethral gland neoplasm	name
DOID:2139	neoplasm of paraurethral glands (disorder)	exact-synonym
DOID:2139	tumor of the Paraurethral gland	exact-synonym
DOID:10811	nasal cavity cancer	name
DOID:10811	malignant neoplasm of nasal cavities	exact-synonym
DOID:10811	malignant tumor of the nasal cavity	exact-synonym
DOID:5442	eccrine acrospiroma	name
DOID:5442	Eccrine acrospiroma	exact-synonym
DOID:5442	Eccrine hidradenoma (disorder)	exact-synonym
DOID:5442	Eccrine hidradenoma of skin	exact-synonym
DOID:5442	Poroma (Acrospiroma)	exact-synonym
DOID:14452	hypokalemic periodic paralysis	name
DOID:14452	familial hypokalemic periodic paralysis (disorder)	exact-synonym
DOID:14452	familial periodic paralysis (& [hypokalaemic])	exact-synonym
DOID:14452	Hypokalemic familial periodic paralysis	exact-synonym
DOID:14452	Hypokalemic periodic paralysis (disorder)	exact-synonym
DOID:14452	periodic hypokalemic paralysis	exact-synonym
DOID:14452	Periodic paralysis I	exact-synonym
DOID:681	progressive bulbar palsy	name
DOID:4558	Ludwig's angina	name
DOID:4558	cellulitis of floor of mouth	exact-synonym
DOID:4558	Ludwig angina	exact-synonym
DOID:13313	pancreatic mucinous ductal ectasia	name
DOID:5171	vaginal endometrial stromal tumor	name
DOID:13316	exocrine pancreatic insufficiency	name
DOID:13316	Exocrine pancreatic insufficiency (disorder)	exact-synonym
DOID:4606	bile duct cancer	name
DOID:4606	bile duct tumor	exact-synonym
DOID:4606	Ca extrahepatic bile ducts	exact-synonym
DOID:4606	malignant neoplasm of the extrahepatic bile duct	exact-synonym
DOID:456	ascariasis	name
DOID:456	Ascariasis - roundworm	exact-synonym
DOID:456	Ascaris lumbricoides infection	related-synonym
DOID:2340	craniosynostosis	name
DOID:2340	Premature closure of cranial sutures	exact-synonym
DOID:5337	epulis	name
DOID:5337	epulides	exact-synonym
DOID:5337	Epulis (morphologic abnormality)	exact-synonym
DOID:5337	Gingival polyp	exact-synonym
DOID:5337	Gingival polyp (disorder)	exact-synonym
DOID:5337	polyp of Gum	exact-synonym
DOID:0050905	inflammatory myofibroblastic tumor	name
DOID:6725	spinal stenosis	name
DOID:6725	cervical spinal stenosis	exact-synonym
DOID:6725	lumbar spinal stenosis	exact-synonym
DOID:6725	Spinal stenosis of lumbar region	exact-synonym
DOID:10817	sexual sadism	name
DOID:4560	non specific chronic endometritis	name
DOID:682	compartment syndrome	name
DOID:682	Compartment syndrome	exact-synonym
DOID:682	Compartment syndrome (disorder)	exact-synonym
DOID:682	Compartmental syndrome, NOS	exact-synonym
DOID:1802	mononeuritis	name
DOID:1802	(Mononeuritis of unspecified site NOS) or (hereditary or idiopathic peripheral neuropathy)	exact-synonym
DOID:13027	transient global amnesia	name
DOID:4584	choroid plexus meningioma	name
DOID:4584	Choroid meningioma (morphologic abnormality)	exact-synonym
DOID:4584	meningioma of the Choroid Plexus	exact-synonym
DOID:882	heterophyiasis	name
DOID:882	heterophyes infectious disease	exact-synonym
DOID:1441	spinocerebellar ataxia	name
DOID:1441	Spinocerebellar ataxia (disorder)	exact-synonym
DOID:13035	louse-borne relapsing fever	name
DOID:13035	Louse-borne relapsing fever (disorder)	exact-synonym
DOID:13035	Relapsing fever, louse-borne	exact-synonym
DOID:5446	eccrine papillary adenoma	name
DOID:5446	 Eccrine papillary adenoma (morphologic abnormality)	exact-synonym
DOID:5446	Eccrine papillary adenoma (morphologic abnormality)	exact-synonym
DOID:5446	Eccrine papillary adenoma morphology (morphologic abnormality)	exact-synonym
DOID:5446	Eccrine papillary adenoma of skin (disorder)	exact-synonym
DOID:2142	urethra leiomyoma	name
DOID:2142	leiomyoma of the urethra	exact-synonym
DOID:11036	chronic rapidly progressive glomerulonephritis	name
DOID:11036	chronic glomerulonephritis with lesion of rapidly progressive glomerulonephritis	exact-synonym
DOID:11036	chronic rapidly progressive glomerulonephritis (disorder)	exact-synonym
DOID:13963	nuclear senile cataract	name
DOID:13963	Nuclear senile cataract (disorder)	exact-synonym
DOID:13963	Senile nuclear cataract (disorder)	exact-synonym
DOID:13963	Senile nuclear sclerosis	exact-synonym
DOID:790	ocular hypotension	name
DOID:790	Decreased intraocular pressure (finding)	exact-synonym
DOID:790	Hypotony of eye	exact-synonym
DOID:790	Hypotony of eye (disorder)	exact-synonym
DOID:790	Hypotony of eye NOS (disorder)	exact-synonym
DOID:790	Hypotony of eye unspecified (disorder)	exact-synonym
DOID:790	Hypotony of eye, unspecified	exact-synonym
DOID:235	colonic benign neoplasm	name
DOID:235	colon neoplasm	exact-synonym
DOID:235	Colonic Mass	exact-synonym
DOID:235	Colonic tumor	exact-synonym
DOID:235	neoplasm of colon (disorder)	exact-synonym
DOID:10323	byssinosis	name
DOID:10323	Byssinosis (disorder)	exact-synonym
DOID:10323	cotton mill fever	exact-synonym
DOID:10323	Flax-dressers' disease	exact-synonym
DOID:10323	Flax-dressers' disease	exact-synonym
DOID:10323	Stripper's asthma	exact-synonym
DOID:13310	diphtheritic peritonitis	name
DOID:4586	familial meningioma	name
DOID:6211	mixed epithelial tumor of ovary	name
DOID:6211	mixed epithelial tumor of ovary (disorder)	exact-synonym
DOID:6211	Ovarian mixed epithelial tumor	exact-synonym
DOID:12753	corneal staphyloma	name
DOID:12753	Corneal staphyloma (disorder)	exact-synonym
DOID:12756	lacrimal duct cancer	name
DOID:12756	malignant neoplasm of lacrimal duct	exact-synonym
DOID:12756	malignant neoplasm of lacrimal duct	exact-synonym
DOID:12756	malignant neoplasm of lacrimal duct NOS (disorder)	exact-synonym
DOID:12756	malignant tumor of lacrimal duct	exact-synonym
DOID:5453	pulmonary venoocclusive disease	name
DOID:5453	pulmonary veno-occlusive disease (disorder)	exact-synonym
DOID:698	dentin sensitivity	name
DOID:698	Sensitive dentin	exact-synonym
DOID:698	Sensitive dentin (disorder)	exact-synonym
DOID:13033	balanitis	name
DOID:13033	Balanitis (disorder)	exact-synonym
DOID:13033	Balanitis [Ambiguous]	exact-synonym
DOID:13036	tick-borne relapsing fever	name
DOID:13036	Relapsing fever, tick-borne	exact-synonym
DOID:13036	Tick-borne relapsing fever (disorder)	exact-synonym
DOID:13036	Tick-borne relapsing fever NOS (disorder)	exact-synonym
DOID:11390	cerebral arteritis	name
DOID:11390	Cerebral arteritis (disorder)	exact-synonym
DOID:438	autoimmune disease of the nervous system	name
DOID:438	autoimmune nervous system disorder	related-synonym
DOID:683	motor neuritis	name
DOID:683	peripheral motor Neuropathy	exact-synonym
DOID:683	peripheral motor neuropathy (disorder)	exact-synonym
DOID:8207	hilar lung carcinoma	name
DOID:4587	benign meningioma	name
DOID:4587	meningioma, benign	exact-synonym
DOID:13110	bladder squamous papilloma	name
DOID:707	B-cell lymphoma	name
DOID:707	B-cell lymphocytic neoplasm	exact-synonym
DOID:11153	miliaria rubra	name
DOID:11153	Miliaria crystallina (disorder)	exact-synonym
DOID:11153	Miliaria rubra	exact-synonym
DOID:11153	Miliaria rubra	exact-synonym
DOID:11153	Miliaria rubra	exact-synonym
DOID:11153	Prickly heat	exact-synonym
DOID:11153	Prickly heat (disorder)	exact-synonym
DOID:11153	Prickly heat - miliaria	exact-synonym
DOID:11153	Prickly heat NOS (disorder)	exact-synonym
DOID:11153	Sudamina	exact-synonym
DOID:11034	contact lens corneal edema	name
DOID:11034	Corneal edema due to wearing of contact lenses	exact-synonym
DOID:6804	colon Kaposi sarcoma	name
DOID:6804	Colonic Kaposi's sarcoma	exact-synonym
DOID:9091	REM sleep behavior disorder	name
DOID:9091	Rapid eye movement sleep behavior disorder 	exact-synonym
DOID:9408	acute myocardial infarction	name
DOID:2661	myoepithelioma	name
DOID:2661	benign myoepithelioma	exact-synonym
DOID:2661	Myoepithelial adenoma	exact-synonym
DOID:2661	Myoepithelial neoplasm	exact-synonym
DOID:9207	periodic limb movement disorder	name
DOID:9207	nocturnal myoclonus	exact-synonym
DOID:0050289	fusariosis	name
DOID:7679	sphenoid sinus Schneiderian papilloma	name
DOID:7679	Schneiderian papilloma of the Sphenoid sinus	exact-synonym
DOID:5744	ovary serous adenocarcinoma	name
DOID:5744	malignant ovarian serous tumor	exact-synonym
DOID:5744	serous carcinoma of Ovary	exact-synonym
DOID:6291	cerebral hemisphere lipoma	name
DOID:6291	Lipoma of the Cerebral Hemisphere	exact-synonym
DOID:0050691	branchiooculofacial syndrome	name
DOID:4389	soft tissue peripheral neuroepithelioma	name
DOID:4389	peripheral Neuroectodermal tumor of soft tissues	exact-synonym
DOID:8503	impetigo herpetiformis	name
DOID:8503	Impetigo herpetiformis (disorder)	exact-synonym
DOID:0050256	angiostrongyliasis	name
DOID:8149	malignant childhood germ cell neoplasm	name
DOID:8149	malignant pediatric germ cell tumor	exact-synonym
DOID:8144	pregerminal center chronic lymphocytic leukemia/small lymphocytic lymphoma	name
DOID:8144	CLL/SLL with Unmutated IGVH	exact-synonym
DOID:8138	thymus sarcomatoid carcinoma	name
DOID:8138	Thymic Carcinosarcoma	exact-synonym
DOID:8137	thymus clear cell carcinoma	name
DOID:8137	Clear cell carcinoma of the Thymus	exact-synonym
DOID:0050692	Brody myopathy	name
DOID:9212	pityriasis rubra pilaris	name
DOID:9212	Devergie's disease	exact-synonym
DOID:9212	Pityriasis rubra pilaris (disorder)	exact-synonym
DOID:2920	membranoproliferative glomerulonephritis	name
DOID:2920	chronic glomerulonephritis, lobular	exact-synonym
DOID:2920	Lobular glomerulonephritis	exact-synonym
DOID:2920	Membranoproliferative Glomerulonephritis	exact-synonym
DOID:2920	Membranoproliferative glomerulonephritis NOS	exact-synonym
DOID:2349	arteriosclerosis	name
DOID:2349	Arteriosclerosis (morphologic abnormality)	exact-synonym
DOID:2349	Arteriosclerosis NOS	exact-synonym
DOID:2349	Arteriosclerosis NOS	exact-synonym
DOID:2349	Arteriosclerotic vascular disease (disorder)	exact-synonym
DOID:2349	Arteriosclerotic vascular disease NOS	exact-synonym
DOID:0050260	dioctophymiasis	name
DOID:0050693	Brooke-Spiegler syndrome	name
DOID:0050261	thelaziasis	name
DOID:4521	cervix endometrial stromal tumor	name
DOID:0050699	Dent disease	name
DOID:0050699	Dent disease 1	exact-synonym
DOID:0050699	Dent disease 2	exact-synonym
DOID:0050699	Dent's disease	exact-synonym
DOID:12397	entropion	name
DOID:12397	Trichiasis of eyelid without entropion	exact-synonym
DOID:0050694	Brown-Vialetto-Van Laere syndrome	name
DOID:10193	classic type lipoma	name
DOID:230	lateral sclerosis	name
DOID:230	adult-onset primary lateral sclerosis	exact-synonym
DOID:230	primary lateral sclerosis	exact-synonym
DOID:3277	thymus cancer	name
DOID:3277	neoplasm of thymus (disorder)	exact-synonym
DOID:3277	thymic neoplasm	exact-synonym
DOID:3277	Thymic tumor	exact-synonym
DOID:3280	mixed type thymoma	name
DOID:3280	Thymoma, mixed type	exact-synonym
DOID:2731	vesiculobullous skin disease	name
DOID:1140	spinal canal and spinal cord meningioma	name
DOID:0050695	malignant pleural solitary fibrous tumor	name
DOID:11156	anhidrosis	name
DOID:11156	absence of sweating (finding)	exact-synonym
DOID:11156	Adiaphoresis	exact-synonym
DOID:11156	Anhidrosis (disorder)	exact-synonym
DOID:13120	protein-deficiency anemia	name
DOID:13120	Anemia due to protein deficiency (disorder)	exact-synonym
DOID:13120	Protein-deficiency anemia (disorder)	exact-synonym
DOID:13120	Protein-deficiency anemia NOS (disorder)	exact-synonym
DOID:0050700	cardiomyopathy	name
DOID:0050700	Cardiomyopathies	exact-synonym
DOID:2732	Rothmund-Thomson syndrome	name
DOID:2732	Congenital poikiloderma	exact-synonym
DOID:2732	Rothmund-Thomson syndrome (disorder)	exact-synonym
DOID:2732	RTS	exact-synonym
DOID:0050698	funisitis	name
DOID:12400	kleptomania	name
DOID:12400	Pathological stealing	exact-synonym
DOID:2733	skin atrophy	name
DOID:2733	atrophic condition of skin (disorder)	exact-synonym
DOID:2733	atrophic condition of skin (disorder)	exact-synonym
DOID:2733	Atrophoderma	exact-synonym
DOID:2733	Atrophoderma	exact-synonym
DOID:2733	Atrophoderma (disorder)	exact-synonym
DOID:2733	Atrophy - skin	exact-synonym
DOID:2733	Atrophy - skin	exact-synonym
DOID:0050268	ophthalmomyiasis	name
DOID:0050758	metabolic acidosis	name
DOID:0050026	human monocytic ehrlichiosis	name
DOID:0050026	Ehrlichiosis chafeensis	related-synonym
DOID:7042	ciliary body epithelioid cell melanoma	name
DOID:13943	acute gonococcal prostatitis	name
DOID:13943	acute gonococcal prostatitis (disorder)	exact-synonym
DOID:13943	Gonococcal prostatitis	exact-synonym
DOID:13943	Gonococcal prostatitis (acute)	exact-synonym
DOID:12401	intermittent explosive disorder	name
DOID:12401	explosive personality disorder	exact-synonym
DOID:0050705	adolescence-adult electroclinical syndrome	name
DOID:5913	brachial plexus neoplasm	name
DOID:5913	tumor of the Brachial Plexus	exact-synonym
DOID:3283	invasive malignant thymoma	name
DOID:3283	Infiltrating Thymoma	exact-synonym
DOID:3283	Thymoma malignant Invasive	exact-synonym
DOID:2312	nocardiosis	name
DOID:2312	Nocardia infectious disease	exact-synonym
DOID:2736	Hajdu-Cheney syndrome	name
DOID:0050703	infancy electroclinical syndrome	name
DOID:14507	peripheral degeneration of cornea	name
DOID:14507	peripheral degeneration of cornea (disorder)	exact-synonym
DOID:14507	peripheral degenerations of cornea	exact-synonym
DOID:3281	combined thymoma	name
DOID:1241	luxation of globe	name
DOID:1241	Luxation of eye (disorder)	exact-synonym
DOID:2151	malignant ovarian surface epithelial-stromal neoplasm	name
DOID:0050130	osmotic diarrhea	name
DOID:8150	pancreatic invasive intraductal papillary-mucinous carcinoma	name
DOID:12403	tinea pedis	name
DOID:12403	Athlete's foot	exact-synonym
DOID:12403	Dermatophytosis of foot	exact-synonym
DOID:12403	Dermatophytosis of foot (& tinea pedis)	exact-synonym
DOID:12403	Dermatophytosis of foot (disorder)	exact-synonym
DOID:12403	ringworm of foot	related-synonym
DOID:12403	Tinea pedis	exact-synonym
DOID:12403	Tinea pedis (disorder)	exact-synonym
DOID:1037	lymphoblastic leukemia	name
DOID:0050290	trichosporonosis	name
DOID:0050706	variable age at onset electroclinical syndrome	name
DOID:2339	Crouzon syndrome	name
DOID:2339	Craniofacial Dysostosis	exact-synonym
DOID:2339	Crouzon's disease	related-synonym
DOID:8151	appendiceal L-cell glucagon-like peptide producing tumor	name
DOID:8151	malignant appendiceal glucagonoma	exact-synonym
DOID:8151	malignant appendiceal L-cell glucagon-like peptide producing tumor	exact-synonym
DOID:11396	pulmonary edema	name
DOID:0050710	3-Methylcrotonyl-CoA carboxylase deficiency	name
DOID:0050710	3-Methylcrotonylglycinuria	exact-synonym
DOID:0050710	3MCC deficiency	exact-synonym
DOID:0050710	BMCC deficiency	exact-synonym
DOID:2738	pseudoxanthoma elasticum	name
DOID:2738	Gronblad-Strandberg syndrome	exact-synonym
DOID:2590	familial nephrotic syndrome	name
DOID:2590	Congenital Nephrotic syndrome	exact-synonym
DOID:2590	Congenital nephrotic syndrome (disorder)	exact-synonym
DOID:2590	Congenital nephrotic syndrome NOS (disorder)	exact-synonym
DOID:8153	fibroosseous pseudotumor of digits	name
DOID:8153	Fibroosseous Digital Pseudotumor	exact-synonym
DOID:0050702	neonatal period electroclinical syndrome	name
DOID:1242	globe disease	name
DOID:0050278	basidiobolomycosis	name
DOID:8167	gallbladder melanoma	name
DOID:8167	malignant melanoma of gallbladder	exact-synonym
DOID:2145	malignant ovarian cyst	name
DOID:0050288	penicilliosis	name
DOID:0050709	Ohtahara syndrome	name
DOID:0050709	Early Infantile Epileptic Encephalopathy 	exact-synonym
DOID:0050709	Early Infantile Epileptic Encephalopathy with Burst-Suppression	exact-synonym
DOID:0050709	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 15	exact-synonym
DOID:9210	geniculate herpes zoster	name
DOID:9210	(Geniculate herpes zoster) or (Ramsey Hunt syndrome)	exact-synonym
DOID:9210	geniculate neuralgia	exact-synonym
DOID:9210	Herpes zoster auricularis (disorder)	exact-synonym
DOID:9210	Herpes Zoster Oticus	exact-synonym
DOID:9210	Herpetic geniculate ganglionitis	exact-synonym
DOID:9210	nervus intermedius neuralgia	exact-synonym
DOID:9210	Ramsay Hunt syndrome type 2	exact-synonym
DOID:9210	Ramsay Hunt syndrome type II	exact-synonym
DOID:2742	auditory system disease	name
DOID:2742	Destruction - ear drum	exact-synonym
DOID:2742	Destruction - ear drum	exact-synonym
DOID:2742	disorder of ear (disorder)	exact-synonym
DOID:2742	ear and mastoid disease	exact-synonym
DOID:2742	ear disease	exact-synonym
DOID:2742	ear disorder	exact-synonym
DOID:2742	ear disorder	exact-synonym
DOID:2742	ear disorder NOS	exact-synonym
DOID:2742	ear disorder NOS (disorder)	exact-synonym
DOID:2742	Unspecified disorder of ear	exact-synonym
DOID:3593	epithelioid trophoblastic tumor	name
DOID:0050712	AGAT deficiency	name
DOID:0050712	arginine:glycine amidinotransferase deficiency	exact-synonym
DOID:0050712	CEREBRAL CREATINE DEFICIENCY SYNDROME 3	exact-synonym
DOID:2149	urogenital tuberculosis	name
DOID:2149	Genitourinary tuberculosis	related-synonym
DOID:11168	anogenital venereal wart	name
DOID:11168	Anogenital Human papilloma Virus Infectious Disease	exact-synonym
DOID:11168	Anogenital warts (disorder)	exact-synonym
DOID:11168	Condyloma acuminatum	related-synonym
DOID:11168	genital wart virus infectious disease	exact-synonym
DOID:11168	Genital warts	exact-synonym
DOID:11168	venereal wart	exact-synonym
DOID:11165	common wart	name
DOID:11853	monocular exotropia	name
DOID:12424	thyrocalcitonin secretion disease	name
DOID:12424	disorder of thyrocalcitonin secretion	exact-synonym
DOID:12424	disorder of thyrocalcitonin secretion (disorder)	exact-synonym
DOID:0050715	methylmalonic aciduria and homocystinuria type cblC	name
DOID:0050715	Cobalamin C deficiency	exact-synonym
DOID:0060244	specific language impairment	name
DOID:8170	fibroepithelial polyp of the anus	name
DOID:8170	Fibroepithelial polyp of anus	exact-synonym
DOID:5527	ampulla of Vater squamous cell carcinoma	name
DOID:12449	aplastic anemia	name
DOID:5282	prostate leiomyosarcoma	name
DOID:5282	leiomyosarcoma of the prostate	exact-synonym
DOID:2744	pyelitis	name
DOID:2744	Pyelitis (disorder)	exact-synonym
DOID:2744	Pyelitis NOS	exact-synonym
DOID:2744	Pyelitis unspecified (disorder)	exact-synonym
DOID:1243	labia minora cancer	name
DOID:1243	malignant neoplasm of labia minora	exact-synonym
DOID:1243	malignant neoplasm of labia minora	exact-synonym
DOID:1243	malignant neoplasm of labia minora (disorder)	exact-synonym
DOID:1243	malignant neoplasm of labium minus	exact-synonym
DOID:1243	malignant tumor of Labia Minora	exact-synonym
DOID:13133	HELLP syndrome	name
DOID:13133	HELLP syndrome (disorder)	exact-synonym
DOID:13133	syndrome of haemolysis, elevated liver enzymes and low platelet	exact-synonym
DOID:8800	lung carcinoma in situ	name
DOID:8800	carcinoma in situ of bronchus and lung (disorder)	exact-synonym
DOID:8800	carcinoma in situ of bronchus or lung NOS (disorder)	exact-synonym
DOID:6214	ovarian papillary neoplasm	name
DOID:6214	Ovarian papillary tumor (morphologic abnormality)	exact-synonym
DOID:6214	Ovarian papillary tumour	exact-synonym
DOID:6214	Papillary tumor of Ovary	exact-synonym
DOID:6166	prostatic urethra urothelial carcinoma	name
DOID:1440	Machado-Joseph disease	name
DOID:1440	Azorean disease (disorder)	exact-synonym
DOID:1440	MJD	exact-synonym
DOID:1440	spinocerebellar ataxia type 3	exact-synonym
DOID:10933	obsessive-compulsive disorder	name
DOID:10933	Anancastic neurosis	exact-synonym
DOID:10933	obsessive compulsive disorder	exact-synonym
DOID:6171	uterine carcinosarcoma	name
DOID:6171	mixed mullerian sarcoma of uterus	exact-synonym
DOID:630	genetic disease	name
DOID:0060181	ischemic colitis	name
DOID:0060175	succinic semialdehyde dehydrogenase deficiency	name
DOID:0060175	4-hydroxybutyric aciduria	exact-synonym
DOID:0060175	gamma-hydroxybutyric aciduria	exact-synonym
DOID:0060175	SSADH	exact-synonym
DOID:6167	prostatic urethral cancer	name
DOID:10139	conjunctival degeneration	name
DOID:5232	aortic valve prolapse	name
DOID:7048	vulvar basaloid squamous cell carcinoma	name
DOID:10935	dissociative disorder	name
DOID:10935	dissociative disease	exact-synonym
DOID:10935	dissociative reaction	exact-synonym
DOID:14415	Legg-Calve-Perthes Disease	name
DOID:14415	Calve - Perthes' disease	exact-synonym
DOID:14415	Coxa plana	exact-synonym
DOID:14415	Juvenile osteochond-hip/pelvis	exact-synonym
DOID:14415	juvenile osteochondrosis of hip and pelvis	exact-synonym
DOID:14415	Juvenile osteochondrosis of hip and/or pelvis (disorder)	exact-synonym
DOID:14415	Legg-Calve-Perthes Symptom	related-synonym
DOID:14415	Osteochondrosis of Legg-Calve-Perthes	exact-synonym
DOID:14415	Perthe's disease	exact-synonym
DOID:14415	Perthe's disease	exact-synonym
