disease_id	name	description
DOID:0050882	spinocerebellar ataxia type 5	A spinocerebellar ataxia that is characterized by the early-onset of cerebellar signs and eye movement abnormalities with a very slow disease progression, and has_physical_basis_in a mutation in the SPTBN2 gene.
DOID:0050883	infantile cerebellar-retinal degeneration	A neurodegenerative disease that is characterized by onset between ages 2 and 6 months of truncal hypotonia, athetosis, seizures, and ophthalmologic abnormalities, particularly optic atrophy and retinal degeneration.
DOID:0050884	triosephosphate isomerase deficiency	A glucose metabolism disorder that is characterized by chronic haemolytic anaemia, cardiomyopathy, susceptibility to infections and severe neurological dysfunction, and has_physical_basis_in the triosephosphate isomerase enzyme (TPI1) gene inherited as an autosomal recessive trait.
DOID:0050885	IMAGe syndrome	A syndrome that is characterized by intrauterine growth restriction, metaphyseal dysplasia, adrenal hypoplasia congenita, genital abnormalities and has_physical_basis_in heterozygous mutation in the CDKN1C gene.
DOID:0050886	Troyer syndrome	A hereditary spastic paraplegia that is characterized by spasticity of the leg muscles, progressive muscle weakness, paraplegia, muscle wasting in the hands and feet (distal amyotrophy), small stature, developmental delay, learning disorders, speech difficulties (dysarthria), and mood swings, and has_material_basis_in a mutation of the SPG20 gene.
DOID:0050887	Townes-Brocks syndrome	An autosomal dominant disease that is characterized by imperforate anus, dysplastic ears often associated with sensorineural and/or conductive hearing impairment, and thumb malformations.
DOID:0050888	syndromic intellectual disability	An intellectual disability that is characterized by the presence of associated medical and behavioral sign and symptoms.
DOID:0050889	non-syndromic intellectual disability	An intellectual disability that is characterized by the absence of associated medical and behavioral signs and symptoms.
DOID:0050890	synucleinopathy	A neurodegenerative disease that is characterized by the abnormal accumulation of aggregates of alpha-synuclein protein in neurons, nerve fibres or glial cells.
DOID:0050891	adrenal cortical adenoma	An adrenal adenoma that is a benign tumor of the adrenal cortex.
DOID:0050892	adrenal gland pheochromocytoma	An adrenal medulla cancer that is characterized by overproduction of adrenaline.
DOID:0050893	gallbladder adenoma	A biliary tract neoplasm that has_material_basis_in epithelial tissue of glandular origin located_in the gallbladder.
DOID:0050894	ameloblastoma	A cell type benign neoplasm that has_material_basis_in odontogenic epithelium.
DOID:0050895	bone ameloblastoma	A bone benign neoplasm that has_material_basis_in odontogenic epithelium and is located_in bone.
DOID:0050896	bone squamous cell carcinoma	A bone carcinoma that derives_from squamous epithelial cells.
DOID:0050897	bone chondrosarcoma	A chondrosarcoma that is located_in bone.
DOID:0050898	phalanx chondroma	A bone benign neoplasm that is located_in the phalanx that has_material_basis_in cartilaginous cells.
DOID:0050899	brain stem medulloblastoma	A brain stem cancer that begins in the lower part of the brain on the floor of the skull.
DOID:0050900	sacrum chordoma	A spinal chordoma that is located_in the sacrum.
DOID:0050901	corpus callosum oligodendroglioma	A brain oligodendroglioma located_in the corpus callosum.
DOID:0050902	medulloblastoma	An infratentorial cancer that is located_in the lower part of the brain and is a type of primitive neuroectodermal tumor.
DOID:0050903	parietal lobe ependymoma	A parietal lobe neoplasm that has_material_basis_in cells lining the ventricles of the brain.
DOID:0050904	salivary gland carcinoma	A salivary gland cancer that has_material_basis_in epithelial cells.
DOID:0050905	inflammatory myofibroblastic tumor	A mesenchymal cell neoplasm that has_material_basis_in myofibroblastic cells admixed with inflammatory cells.
DOID:0050906	conjunctival nevus	A sensory organ benign neoplasm that is located in the eye conjunctiva.
DOID:0050907	mixed extragonadal germ cell cancer	A mixed germ cell cancer that is located_in areas of the body other than the ovary or testicle.
DOID:0050908	myelodysplastic syndrome	A bone marrow cancer that is characterized by under production of white blood cells, red blood cells and platelets.
DOID:0050909	MALT lymphoma	A non-Hodgkin lymphoma that has_material_basis_in mucosal tissue involved in antibody production.
DOID:0050910	cecum adenoma	A cecal benign neoplasm that has_material_basis_in epithelial tissue with glandular origin.
DOID:0050911	appendix carcinoid tumor	An appendix cancer that has_material_basis_in neurodendocrine cells.
DOID:0050912	colon adenoma	A colonic benign neoplasm that has_material_basis_in epithelial tissue with glandular origin.
DOID:0050913	large intestine adenocarcinoma	A large intestine cancer that has_material_basis_in epithelial cells of glandular origin.
DOID:0050914	large intestine adenoma	An intestinal benign neoplasm that has_material_basis_in epithelial tissue with glandular origin and is located_in the large intestine.
DOID:0050915	rectum adenoma	An intestinal benign neoplasm that has_material_basis_in epithelial tissue with glandular origin and is located_in the rectum.
DOID:0050916	bronchus mucoepidermoid carcinoma	A bronchus cancer that has_material_basis_in squamous cells, mucus-secreting cells, and intermediate cells.
DOID:0050917	lung combined type small cell adenocarcinoma	A lung combined type small cell carcinoma that has_material_basis_in epithelial tissue of glandular origin.
DOID:0050918	vaginal carcinoma	A vaginal cancer that has_material_basis_in epithelial cells.
DOID:0050919	trachea mucoepidermoid carcinoma	A trachea carcinoma that is characterized by the presence of squamous cells, mucus-secreting cells, and intermediate cells.
DOID:0050920	tonsil squamous cell carcinoma	A tonsil cancer that has_material_basis_in squamous cells.
DOID:0050921	pharynx squamous cell carcinoma	A pharynx cancer that has_material_basis_in squamous cells.
DOID:0050922	gastrointestinal carcinoma	A gastrointestinal system cancer that has_material_basis_in epithelial cells.
DOID:0050923	spindle epithelial tumor with thymus-like differentiation tumor	A thyroid carcinoma that has_material_basis_in compact bundles of long spindle epithelial cells that merge with tubulopapillary structures and/or mucinous glands.
DOID:0050924	striated muscle rhabdoid tumor	A muscle cancer that is located_in striated muscle and has_material_basis_in rhabdoid cells which are large cells with eccentrically located nuclei and abundant, eosinophilic cytoplasm.
DOID:0050925	small intestine carcinoid neuroendocrine tumor	A small intestine cancer that has_material_basis_in cells of the neuroendocrine system.
DOID:0050926	jejunal adenocarcinoma	A jejunal cancer that is located_in the jejunum and has_material_basis_in epithelial tissue that has glandular origin.
DOID:0050927	duodenum adenoma	A duodenal benign neoplasm that has_material_basis_in epithelial tissue with glandular origin.
DOID:0050928	ovarian melanoma	An ovarian cancer that has_material_basis_in melanoctyes.
DOID:0050929	mucosal melanoma	A melanoma that has_material_basis_in melanocytes located_in mucosal membranes lining the respiratory, gastrointestinal and urogenital tract.
DOID:0050930	sublingual gland adenoid cystic carcinoma	A sublingual gland cancer that is characterized by a distinctive pattern in which abnormal nests or cords of epithelial cells surround and/or infiltrate ducts or glandular structures within the affected organ.
DOID:0050931	parotid gland adenoid cystic carcinoma	A parotid gland cancer that is characterized by a distinctive pattern in which abnormal nests or cords of epithelial cells surround and/or infiltrate ducts or glandular structures within the affected organ.
DOID:0050932	lung mucoepidermoid carcinoma	A lung carcinoma that has_material_basis in a combination of squamous cells, mucus secreting cells and intermediate cells.
DOID:0050933	ovarian serous carcinoma	An ovarian carcinoma that has_material_basis_in the lining of the ovary and produces a serum-like fluid.
DOID:0050934	ovarian clear cell carcinoma	An ovarian carcinoma that has_material_basis_in cells with clear cytoplasm and glycogen secreting hob nail cells.
DOID:0050935	cervical neuroblastoma	An extracranial neuroblastoma that has_material_basis_in immature nerve cells.
DOID:0050936	extra-adrenal pheochromocytoma	An adrenal medulla cancer that originate in the ganglia of the sympathetic nervous system and are named based upon the primary anatomical site of origin.
DOID:0050937	retroperitoneal neuroblastoma	A retroperitoneal cancer that has_material_basis_in immature nerve cells.
DOID:0050938	breast lobular carcinoma	A breast carcinoma that derives_from breast lobules (milk glands).
DOID:0050939	uterine corpus endometrial carcinoma	A uterine corpus cancer that is derived_from the inner lining of the uterus.
DOID:0050940	endocervical adenocarcinoma	An endocervical carcinoma that derives_from epithelial cells of glandular origin.
DOID:0060000	infective endocarditis	An endocarditis that is characterized by inflammation of the endocardium caused by infectious agents.
DOID:0060001	withdrawal disorder	A substance-related disorder that occurs upon the abrupt discontinuation/separation or a decrease in dosage of the intake of medications, recreational drugs, and alcohol.
DOID:0060002	C1 inhibitor deficiency	A complement deficiency that is a functional deficiency in the complement component C1 inhibitor leading to hereditary angioedema (HAE) involving swelling due to leakage of fluid from blood vessels into connective tissue.
DOID:0060004	autoimmune disease of central nervous system	An autoimmune disease of the central nervous system.
DOID:0060005	autoimmune disease of endocrine system	A hypersensitivity reaction type II disease that is the abnormal functioning of the immune system resulting in production of antibodies or T cells against cells and/or tissues in the endocrine system.
DOID:0060006	artemis deficiency	A severe combined immunodeficiency that is caused when the DCLREI1, DNA cross-link repair 1C gene contains mutations resulting in the inability to repair DNA.
DOID:0060007	CD3zeta deficiency	A severe combined immunodeficiency that affects the development and function of T cells.
DOID:0060008	janus kinase-3 deficiency	
DOID:0060009	MHC class I deficiency	
DOID:0060010	Omenn syndrome	A combined T cell and B cell immunodeficiency that is an autosomal recessive immunodeficiency associated with mutations in the recombination activating genes (RAG1 and RAG2), affecting circulating levels of both B-cells and T-cells.
DOID:0060011	recombinase activating gene 1 deficiency	A severe combined immunodeficiency that is the result of a mutation on Chromosome 6 RAG1 gene involving genetic rearrangement of both the T- and B-lymphocyte receptor genes.
DOID:0060012	recombinase activating gene 2 deficiency	A severe combined immunodeficiency that is the result of a mutation on Chromosome 6 RAG2 gene involving genetic rearrangement of both the T- and B-lymphocyte receptor genes.
DOID:0060013	gamma chain deficiency	A severe combined immunodeficiency that is a X-linked SCID caused by mutations in genes encoding common gamma chain proteins shared by the interleukin (IL-2,4,7,9,16 and21) receptors resulting in a non-functional gamma chain, defective interleukin signalling, minimal or ascent T- and NK cells and non-functional B-cells.
DOID:0060014	CD45 deficiency	A severe combined immunodeficiency that is an autosomal recessive disease with T and B lymphocyte dysfunction, due to a large deletion at one allelle and a point mutation at the other. The point mutation resulted in the alteration of intervening sequence 13 donor splice site. The population of T lymphocytes is diminished and unresponsive to mitogen stimulation. The level of B lymphocyte numbers, serum immunoglobulin decreased with age.
DOID:0060015	interleukin-7 receptor alpha deficiency	A severe combined immunodeficiency that results from defective IL7R expression causes T-B+NK+ SCID. Loss of IL-7R function leads to the loss of an antiapoptotic signal, resulting in a loss of T-cell selection in thymus.
DOID:0060016	CD3delta deficiency	A severe combined immunodeficiency that is characterized by the absence of T cells but normal numbers of B cells. CD3D is essential for T cell development.
DOID:0060017	CD3epsilon deficiency	A severe combined immunodeficiency that is an autosomal recessive immunodeficiency caused by mutations in the gene coding for T-cell surface glycoprotein CD3epsilon chain precursors. Patients with CD3epsilon deficiency have a severe defect in the expression of the T-cell receptor CD3-complex.
DOID:0060018	CD3gamma deficiency	A severe combined immunodeficiency an autosomal recessive immunodeficiency caused by mutations in the gene coding for T-cell surface glycoprotein CD3gamma chain precursors. Patients with CD3gamma deficiency have a severe defect in the expression of the T-cell receptor CD3-complex. Affected patients have decreased T-cell numbers and function; B cells are variably affected.
DOID:0060019	coronin-1A deficiency	A severe combined immunodeficiency that is an actin regulator when mutated results in SCID through inhibition of thymic egress of mature thymocytes into peripheral lymphoid organs.
DOID:0060020	reticular dysgenesis	A severe combined immunodeficiency that is the most severe form of SCID and is caused by mutations in the gene encoding mitochondrial adenylate kinase 2. It is characterized by congenital agranulocytosis, lymphopenia, and lymphoid and thymic hypoplasia with absent cellular and humoral immunity functions.
DOID:0060021	DNA ligase IV deficiency	A combined T cell and B cell immunodeficiency that is caused by a mutatino in the LIG4 gene, a DNA ligase, encoding a protein essential for V(D)J recombination and DNA double-strand break (DSB) repair through nonhomologous end joining (NHEJ). Patients present with immunodeficiency and developmental and growth delay.
DOID:0060022	CD40 ligand deficiency	A combined T cell and B cell immunodeficiency that is a X-linked immunodeficiency with hyperimmunoglobulin M (XHIM) affecting isotype switching and is caused by the absence of CD40 ligand which is normally expressed on activated CD4+ T cells. Individuals with this mutation are unable to switch from IgM to IgG, IgA and IgE.
DOID:0060023	CD40 deficiency	A combined T cell and B cell immunodeficiency that is caused by mutation in TNFRSF5 resulting in type 3 hyper-IgM immunodeficiency characterized by an inability of B cells to undergo isotype switching, an inability to mount an antibody-specific immune response, and a lack of germinal center formation.
DOID:0060024	lambda 5 deficiency	A B cell deficiency that is caused by mutations in the IGLL1 gene. Lambda 5 mutations an cause a block in B cell development at the transition between the pro-B cell and the pre-B cell stage.
DOID:0060025	immunoglobulin alpha deficiency	A B cell deficiency that is an autosomal recessive disorder caused by mutation in the IgA (CD79 alpha) antigen receptor.
DOID:0060026	immunoglobulin beta deficiency	
DOID:0060027	B cell linker protein deficiency	A hypobammaglobulinemia that is a B cell deficiency caused by a mutation a cytoplasmic linker or adaptor protein that plays a critical role in B cell development, the B cell linker protein (BLNK) gene. Mutations in this gene cause hypoglobulinemia and absent B cells, a disease in which the pro- to pre-B-cell transition is developmentally blocked. The BLNK gene is associated with intracellular calcium mobilization, essential for cell activation.
DOID:0060028	Good syndrome	An agammaglobulinemia that is a condition where there is co-occurrence of deficient cell-mediated immunity and benign thymoma.
DOID:0060029	autoimmune disease of exocrine system	An immune system disease that is the abnormal functioning of the immune system that causes your immune system to produce antibodies or T cells against cells and/or tissues in the exocrine system.
DOID:0060030	autoimmune disease of eyes, ear, nose and throat	A hypersensitivity reaction type II disease of the eyes, ears, nose and throat.
DOID:0060031	autoimmune disease of gastrointestinal tract	A hypersensitivity reaction type II disease that is the abnormal functioning of the immune system that causes your immune system to produce antibodies or T cells against cells and/or tissues in the gastrointestinal tract.
DOID:0060032	autoimmune disease of musculoskeletal system	An autoimmune disease that is the abnormal functioning of the immune system that causes your immune system to produce antibodies or T cells against cells and/or tissues in the musculoskeletal system.
DOID:0060033	autoimmune disease of peripheral nervous system	An autoimmune disease of the nervous system that is the abnormal functioning of the immune system that causes your immune system to produce antibodies or T cells against cells and/or tissues in the peripheral nervous system.
DOID:0060036	intrinsic cardiomyopathy	A cardiomyopathy that is characterized as weakness in the muscle of the heart that is not due to an identifiable external cause.
DOID:0060037	developmental disorder of mental health	A disease of mental health that occur during a child's developmental period between birth and age 18 resulting in retarding of the child's psychological or physical development.
DOID:0060038	specific developmental disorder	A developmental disorder of mental health that categorizes specific learning disabilities and developmental disorders affecting coordination.
DOID:0060039	autoimmune disease of skin and connective tissue	A hypersensitivity reaction type II disease that is the abnormal functioning of the immune system that causes your immune system to produce antibodies or T cells against cells and/or tissues in the skin and connective tissue.
DOID:0060040	pervasive developmental disorder	A developmental disorder of mental health that refers to a group of five disorders characterized by impairments in socialization and communication, as well as restricted interests and repetitive behaviors.
DOID:0060041	autism spectrum disorder	A pervasive developmental disorder that is a spectrum of psychological conditions. The disease has_symptom widespread abnormalities of social interactions and communication, has_symptom severely restricted interests and has_symptom highly repetitive behavior.
DOID:0060042	atypical autism	An autism spectrum disorder that involves some autistic symptoms occuring after age 3 with an abscence of all the traits necessary for a diagnosis of autism.
DOID:0060043	sexual disorder	A disease of mental health that involves the impairment in normal sexual functioning.
DOID:0060044	paraphilia disorder	
DOID:0060045	Munchausen by proxy	A factitious disorder that involves a care giver's deliberate exaggeration, fabrication, and/or induce physical, psychological, behavioral, and/or mental health problems in others.
DOID:0060046	aphasia	A language disorder that involves an acquired impairment of any laguage modality such as producting or comprehending spoken or written language.
DOID:0060047	writing disorder	A learning disability that involves impaired written language ability such as impairments in handwriting, spelling, organization of ideas, and composition.
DOID:0060048	nosophobia	A specific phobia that involves an irrational fear of contracting a disease.
DOID:0060049	autoimmune disease of urogenital tract	A hypersensitivity reaction type II disease that is the abnormal functioning of the immune system that causes your immune system to produce antibodies or T cells against cells and/or tissues in the urogenital tract.
DOID:0060050	autoimmune disease of blood	A hypersensitivity reaction type II disease that is the abnormal functioning of the immune system that causes your immune system to produce antibodies or T cells against cells and/or tissues in the blood.
DOID:0060051	autoimmune disease of cardiovascular system	A hypersensitivity reaction type II disease that is the abnormal functioning of the immune system that causes your immune system to produce antibodies or T cells against cells and/or tissues in the cardiovascular system.
DOID:0060053	peripheral neuropathy	A neuropathy that is located_in nerves of the peripheral nervous system.
DOID:0060054	autonomic peripheral neuropathy	
DOID:0060055	popliteal pterygium syndrome	
DOID:0060056	hypersensitivity reaction disease	An immune system disease that is caused by abnormal immune responses.
DOID:0060057	gluten allergic reaction	
DOID:0060058	lymphoma	A hematologic cancer that affects lymphocytes that reside in the lymphatic system and in blood-forming organs.
DOID:0060060	non-Hodgkin lymphoma	A lymphoma that is characterized as any kind of lymphoma except Hodgkin's lymphoma.
DOID:0060061	cutaneous T cell lymphoma	A non-Hodgkin's lymphoma that is caused by a mutation of T cells.
DOID:0060062	familial juvenile hyperuricemic nephropathy	A kidney disease that is characterized by hyperuricemia with renal uric acid under-excretion, gout and chronic kidney disease.
DOID:0060063	X-linked sideroblastic anemia	
DOID:0060064	sideroblastic anemia with spinocerebellar ataxia	
DOID:0060065	pyridoxine-refractory autosomal recessive sideroblastic anemia	
DOID:0060066	pyridoxine-responsive sideroblastic anemia	
DOID:0060067	Pearson syndrome	A mitochondrial metabolism disease that is characterized by sideroblastic anemia and exocrine pancreas dysfunction.
DOID:0060068	marantic endocarditis	An endocarditis that results from the deposition of small sterile vegetations on valve leaflets.
DOID:0060071	pre-malignant neoplasm	A disease of cellular proliferation that results in abnormal growths in the body, which do not invade or destroy the surrounding tissue but, given enough time, will transform into a cancer.
DOID:0060072	benign neoplasm	A disease of cellular proliferation that results in abnormal growths in the body which lack the ability to metastasize.
DOID:0060073	lymphatic system cancer	An immune system cancer that is located_in the lymphatic system and is characterized by uncontrolled cellular proliferation of lymphoid tissue.
DOID:0060074	ductal carcinoma in situ	
DOID:0060075	estrogen-receptor positive breast cancer	
DOID:0060076	estrogen-receptor negative breast cancer	
DOID:0060077	progesterone-receptor positive breast cancer	
DOID:0060078	progesterone-receptor negative breast cancer	
DOID:0060079	Her2-receptor positive breast cancer	
DOID:0060080	Her2-receptor negative breast cancer	
DOID:0060081	triple-receptor negative breast cancer	
DOID:0060082	breast benign neoplasm	
DOID:0060083	immune system cancer	An organ system cancer located_in the immune system that is characterized by uncontrolled cellular proliferation in organs of the immune system.
DOID:0060084	cell type benign neoplasm	A benign neoplasm that is classified by the type of cell or tissue from which it is derived.
DOID:0060085	organ system benign neoplasm	A benign neoplasm that is classified by the organ system from which it is arising from.
DOID:0060086	female reproductive organ benign neoplasm	
DOID:0060087	male reproductive organ benign neoplasm	
DOID:0060088	vestibular gland benign neoplasm	
DOID:0060089	endocrine organ benign neoplasm	An organ system benign neoplasm that is located_in endocrine glands which secretes a type of hormone directly into the bloodstream to regulate the body.
DOID:0060090	central nervous system organ benign neoplasm	
DOID:0060091	cardiovascular organ benign neoplasm	An organ system benign neoplasm disease located_in the blood, heart, blood vessels or the lymphatic system.
DOID:0060092	immune system organ benign neoplasm	An organ system benign neoplasm located_in the immune system organs.
DOID:0060094	bone benign neoplasm	A connective tissue benign neoplasm that is located_in bone.
DOID:0060095	uterine benign neoplasm	
DOID:0060096	sensory organ benign neoplasm	A nervous system benign neoplasm that is located_in a sensory organ.
DOID:0060097	thoracic benign neoplasm	An organ system benign neoplam that is located_in the thoracic cavity.
DOID:0060098	osteoblastoma	
DOID:0060099	musculoskeletal system benign neoplasm	An organ system benign neoplasm that is located_in the muscular and skeletal organs.
DOID:0060100	musculoskeletal system cancer	An organ system cancer located_in the muscular and skeletal organs and characterized by uncontrolled cellular proliferation of the musculoskeletal organs.
DOID:0060101	benign glioma	A cell type benign neoplasm that has_material_basis_in glial cells.
DOID:0060102	cartilage cancer	
DOID:0060103	central nervous system primitive neuroectodermal neoplasm	
DOID:0060104	cerebellar medulloblastoma	A cerebellum cancer that begins in the lower part of the brain on the floor of the skull.
DOID:0060105	brain medulloblastoma	A brain cancer that is located_in the lower part of the brain on the floor of the skull.
DOID:0060106	brain meningioma	
DOID:0060108	brain glioma	A brain cancer that has_material_basis_in glial cells.
DOID:0060109	vulvar benign neoplasm	
DOID:0060110	cervical benign neoplasm	
DOID:0060111	fallopian tube benign neoplasm	
DOID:0060112	ovarian benign neoplasm	
DOID:0060114	vaginal benign neoplasm	
DOID:0060115	nervous system benign neoplasm	An organ system benign neoplasm that is located_in the central nervous system or located_in the peripheral nervous system.
DOID:0060116	sensory system cancer	A nervous system cancer that is located_in the sensory system.
DOID:0060117	peritoneal benign neoplasm	An organ system benign neoplasm that is located_in the serous membrane lining the abdominal cavity or coelom.
DOID:0060118	thoracic disease	A disease of anatomical entity that is located_in the thoracic cavity.
DOID:0060119	pharynx cancer	A gastrointestinal system cancer that is located_in the pharynx.
DOID:0060121	integumentary system benign neoplasm	An organ system benign neoplasm located_in the integumentary system organs.
DOID:0060122	integumentary system cancer	An organ system cancer that is located_in the skin, hair and nails.
DOID:0060123	connective tissue benign neoplasm	A musculoskeletal system benign neoplasm that is located_in connective tissue.
DOID:0060125	heavy chain disease	A hypersensitivity reaction type IV disease that results from a proliferation of cells producing immunoglobulin heavy chains.
DOID:0060126	alpha chain disease	A heavy chain disease that results from an overproduction of alpha antibodies (IgA).
DOID:0060127	gamma heavy chain disease	A heavy chain disease that results from an overproduction of gamma antibody (IgG).
DOID:0060128	mu chain disease	A heavy chain disease that results from an overproduction of mu antibody (IgM).
DOID:0060129	delta chain disease	A heavy chain disease that results from an overproduction of delta antibody (IgD).
DOID:0060130	akinetopsia	An agnosia that is a loss of motion perception.
DOID:0060131	alexithymia	An agnosia that is a deficiency in understanding, processing, or describing emotions.
DOID:0060132	amusia	An agnosia that is a loss of the ability to recognize musical notes, rhythms, and intervals.
DOID:0060133	anosognosia	An agnosia that is a loss of the ability to gain feedback about one's own condition or impairments.
DOID:0060134	apperceptive agnosia	An agnosia that is a loss of the ability to distinguish visual shapes.
DOID:0060135	apraxia	An agnosia that is a loss of the ability to map out physical actions in order to repeat them in functional activities.
DOID:0060136	associative agnosia	An agnosia that is a loss of the ability to recognize visual scenes or classes of objects but retain the abilty to describe them.
DOID:0060137	auditory agnosia	An agnosia that is a loss of the ability to distinguishing environmental and non-verbal auditory cues including difficulty distinguishing speech from non-speech sounds even though hearing is usually normal.
DOID:0060138	autotopagnosia	An agnosia that is a loss of the ability to orient parts of the body.
DOID:0060139	color agnosia	An agnosia that is a loss of the ability to recognize a color, while being able to perceive or distinguish it.
DOID:0060140	cortical deafness	An agnosia that is a loss of the ability to perceive any auditory information but whose hearing is intact.
DOID:0060141	finger agnosia	An agnosia that is a loss of the ability to distinguish the fingers on the hand.
DOID:0060142	form agnosia	An agnosia that is a loss of the ability to perceive a whole object while perceiving only parts of details.
DOID:0060143	integrative agnosia	An agnosia that is a loss of the ability to integrate these elements together into comprehensible perceptual wholes while recognizing elements of the whole.
DOID:0060144	mirror agnosia	An agnosia that is a loss of the ability to acknowledge objects in the neglected field that are visible when a mirror reflects the object visible in the non-neglected field.
DOID:0060145	pain agnosia	An agnosia that is a loss of the ability to perceive and process pain.
DOID:0060146	phonagnosia	An agnosia that is a loss of the ability to recognize familiar voices.
DOID:0060147	semantic agnosia	An agnosia that is a loss of the ability to visually recognise an object while maintaining the use of non-visual sensory systems such as feeling, tapping, smelling, rocking or flicking the object to recognise the object.
DOID:0060148	simultanagnosia	An agnosia that is a loss of the ability to recgonize a whole image or scene while retianing the ability to recognize objects or details in their visual field one at a time.
DOID:0060149	social emotional agnosia	An agnosia that is a loss of the ability to perceive facial expression, body language and intonation, rendering them unable to non-verbally perceive people's emotions and limiting that aspect of social interaction.
DOID:0060150	astereognosia	An agnosia that is the loss of the ability to recognize objects by touch based on its texture, size and weight.
DOID:0060151	tactile agnosia	An agnosia that is a loss of the ability to recognize or identify objects by touch alone.
DOID:0060152	time agnosia	An agnosia that is a loss of the ability to comprehend the succession and duration of events.
DOID:0060153	topographical agnosia	An agnosia that is a loss of the ability to rely on visual cues to guide them directionally due to the inability to recognise objects.
DOID:0060154	verbal auditory agnosia	An agnosia that is a loss of the ability to recognising spoken words as semantically meaningful.
DOID:0060155	visual agnosia	An agnosia that is a loss of the ability to visually recognize objects.
DOID:0060156	visual verbal agnosia	An agnosia that is a loss of the ability to comprehending the meaning of written words.
DOID:0060157	diffuse alopecia areata	An alopecia areata that involves diffuse loss of hair over the whole scalp.
DOID:0060158	acquired metabolic disease	A disease of metabolism that has _material_basis_in enzyme deficiency or accumulation of enzymes or toxins which interfere with normal function due to an endocrine organ disease, organ malfunction, inadequate intake, dietary deficiency, or malabsorption.
DOID:0060159	organic acidemia	An amino acid metabolic disorder that disrupts normal amino acid metabolism causing a building up of branched-chain amino acids.
DOID:0060160	survival motor neuron spinal muscular atrophy	A spinal muscular atrophy that is associated with the survival of motor neuron protein.
DOID:0060161	Kennedy's disease	A spinal muscular dystrophy that has_material_basis_in an X-linked recessive expansion of CAG triplet repeats (glutamine)\nin exon 1 of AR gene encoding the androgen receptor.
DOID:0060162	dentatorubral-pallidoluysian atrophy	A spinocerebellar degeneration that has_material_basis_in expansion of  CAG triplet repeats (glutamine) encoding a polyglutamine tract in the atrophin-1 protein.
DOID:0060163	body dysmorphic disorder	A somatoform disorder that involves an excessive concern about and preoccupation with a perceived defect in his or her physical features (body image).
DOID:0060164	pain disorder	A somatoform disorder that involves chronic pain in one or more areas, and is thought to be caused by psychological stress.
DOID:0060165	Kleine-Levin syndrome	A recurrent hypersomnia that is characterized by recurring periods of excessive amounts of sleep and altered behavior.
DOID:0060166	bipolar ll disorder	A bipolar disorder that is characterized by at least one hypomanic episode and at least one major depressive episode; with this disorder, depressive episodes are more frequent and more intense than manic episodes.
DOID:0060167	seasonal affective disorder	A mental depression that involves presentation of depressive symptoms only during a specific season of the year.
DOID:0060168	histidinemia	A histidine metabolism disease that involves a deficiency of the enzyme histidase.
DOID:0060169	benign familial infantile epilepsy	An infancy electroclinical syndrome that is characterized by convulsions, with onset at age 3 to 12 months.
DOID:0060170	generalized epilepsy with febrile seizures plus	An idiopathic generalized epilepsy that is characterized by febrile seizures often with accessory afebrile generalized tonic-clonic seizures with childhood onset.
DOID:0060171	Dravet Syndrome	An epilepsy that is characterized by frequent febrile seizures with onset before 1 year.
DOID:0060172	juvenile absence epilepsy	An adolescence-adult electroclinical syndrome statring between the age of ten to 17 years characterized by the occurrence of typical absence seizures.
DOID:0060173	Timothy syndrome	An autosomal dominant disease that is characterized by cardiac, hand/foot, facial, and neurodevelopmental features. The two forms are type 1 (classic) and type 2, a rare form caused by mutations in a transcript variant of CACNA1C.
DOID:0060174	GABA aminotransferase deficiency	A gamma-amino butyric acid metabolism disorder that is characterized by a defect in the gene coding for gamma-aminobutyrate transaminase, which is responsible for catabolism of gamma-aminobutyric acid (GABA), an important, mostly inhibitory neurotransmitter in the central nervous system, into succinic semialdehyde.
DOID:0060175	succinic semialdehyde dehydrogenase deficiency	A gamma-amino butyric acid metabolism disorder that is characterized by a deficiency of succinic semialdehyde dehydrogenase resulting in elevated levels of gamma-hydroxybutyric acid.
DOID:0060176	gamma-amino butyric acid metabolism disorder	An amino acid metabolic disorder characterized by impairment of the GABA catabolic pathway.
DOID:0060177	homocarnosinosis	A gamma-amino butyric acid metabolism disorder that is characterized by an excess of homocarnosine in the brain and has_material_basis_in a deficiency of serum carnosinase in its ability to hydrolyze homocarnosine.
DOID:0060178	familial hemiplegic migraine	A migraine with aura that is characterized by temporary numbness or weakness, often affecting one side of the body (hemiparesis). Additional features of an aura can include difficulty with speech, confusion, and drowsiness.
DOID:0060179	Renpenning syndrome	An intellectual disability that is characterized by small head size (microcephaly), long narrow face, short stature, small testes, and intellectual deficit which follows X-linked inheritance and presents most often in males.
DOID:0060180	colitis	An inflammatory bowel disease that involves inflammation located_in colon.
DOID:0060181	ischemic colitis	A colitis caused_by inadequate blood supply to the colon.
DOID:0060182	microscopic colitis	A colitis that can only be diagnosed_by the examination of colon tissue under a microscope.
DOID:0060183	collagenous colitis	A colitis characterized by a distinctive thickening of the subepithelial collagen table.
DOID:0060184	lymphocytic colitis	A colitis characterized by an accumulation of lymphocytes in the colonic epithelium and connective tissue (lamina propria).
DOID:0060185	Clostridium difficile colitis	A colitis characterized by an overgrowth of Clostridium difficile bacteria.
DOID:0060186	chemical colitis	A colitis caused_by introduction of various chemicals.
DOID:0060187	diversion colitis	A colitis caused_by diversion of the fecal stream due to complication of ileostomy or colostomy.
